Date,Total_Type0_Amount,Total_Type1_Amount,Total_Amount,Total_TP_Amount
4/6/2022,23244.46,8288.40,31532.86,31532.87
4/7/2022,23369.73,7646.11,31015.84,30976.20
4/8/2022,24283.06,7550.48,31833.54,31811.29
4/9/2022,23822.61,7654.03,31476.64,31441.85
4/10/2022,23777.75,8023.29,31801.04,31801.07
4/11/2022,25101.64,7883.16,32984.80,32984.80
4/12/2022,23954.74,7359.40,31314.14,31314.15
4/13/2022,24846.87,6916.82,31763.69,31693.68
4/14/2022,24145.44,8608.04,32753.48,32753.47
4/15/2022,23496.81,7956.16,31452.97,31431.15
4/16/2022,22443.39,7444.02,29887.41,29887.42
4/17/2022,24825.17,6912.72,31737.89,31737.89
4/18/2022,22955.29,7901.46,30856.75,30813.83
4/19/2022,24245.07,7530.08,31775.15,31745.38
4/20/2022,24530.58,8290.24,32820.82,32820.84
4/21/2022,24921.04,7849.39,32770.43,32732.16
4/22/2022,23736.73,7563.35,31300.08,31257.63
4/23/2022,23864.01,7776.43,31640.44,31640.44
4/24/2022,24793.41,7124.63,31918.04,31918.03
4/25/2022,23196.26,7367.06,30563.32,30563.31
4/26/2022,24390.63,7723.78,32114.41,32114.39
4/27/2022,23382.79,7551.81,30934.60,30934.60
4/28/2022,23600.05,8395.69,31995.74,31972.07
4/29/2022,24007.60,7690.75,31698.35,31675.39
4/30/2022,25328.91,7545.14,32874.05,32874.05
5/1/2022,23335.79,7610.17,30945.96,30908.06
5/2/2022,25664.90,7956.36,33621.26,33605.72
5/3/2022,23932.83,7440.09,31372.92,31360.50
5/4/2022,23519.78,7834.06,31353.84,31353.84
5/5/2022,24784.19,7049.91,31834.10,31821.46
5/6/2022,22922.62,7099.57,30022.19,30022.17
5/7/2022,23797.06,7374.57,31171.63,31134.96
5/8/2022,24686.75,7238.38,31925.13,31925.16
5/9/2022,24072.44,6295.77,30368.21,30346.56
5/10/2022,24256.09,6522.19,30778.28,30749.22
5/11/2022,24578.25,7104.68,31682.93,31667.70
5/12/2022,24654.76,7844.88,32499.64,32457.06
5/13/2022,23939.78,7906.51,31846.29,31846.30
5/14/2022,23936.89,8180.29,32117.18,32117.20
5/15/2022,23956.10,7845.22,31801.32,31801.32
5/16/2022,24087.26,7746.02,31833.28,31784.81
5/17/2022,23978.89,6761.21,30740.10,30709.23
5/18/2022,23810.59,7246.47,31057.06,31057.07
5/19/2022,23566.96,6632.48,30199.44,30162.70
5/20/2022,23295.61,7893.39,31189.00,31153.14
5/21/2022,24761.51,7770.94,32532.45,32532.45
5/22/2022,23360.74,8428.69,31789.43,31789.44
5/23/2022,24362.29,7616.74,31979.03,31963.80
5/24/2022,23662.00,7508.01,31170.01,31170.01
5/25/2022,24315.45,7400.08,31715.53,31690.70
5/26/2022,25349.82,7663.11,33012.93,32931.34
5/27/2022,23845.56,7423.75,31269.31,31238.81
5/28/2022,24766.92,7902.30,32669.22,32669.21
5/29/2022,27275.87,7092.19,34368.06,34368.07
5/30/2022,22999.25,8110.05,31109.30,31083.07
5/31/2022,23039.40,7823.88,30863.28,30863.30
6/1/2022,24406.21,7705.25,32111.46,32058.26
6/2/2022,24628.49,8081.81,32710.30,32676.65
6/3/2022,24585.53,7750.37,32335.90,32335.90
6/4/2022,24897.16,8111.84,33009.00,32972.02
6/5/2022,24500.30,7400.02,31900.32,31866.21
6/6/2022,24796.11,7684.32,32480.43,32467.98
6/7/2022,24380.91,7307.22,31688.13,31664.82
6/8/2022,22769.42,8186.92,30956.34,30956.34
6/9/2022,23659.30,7795.50,31454.80,31400.56
6/10/2022,24454.20,8076.52,32530.72,32530.70
6/11/2022,24424.42,8068.59,32493.01,32427.28
6/12/2022,24368.22,6936.96,31305.18,31277.12
6/13/2022,23892.19,7773.75,31665.94,31665.93
6/14/2022,24100.63,8223.81,32324.44,32324.44
6/15/2022,23654.55,8205.62,31860.17,31860.17
6/16/2022,24308.45,7547.44,31855.89,31855.89
6/17/2022,25415.63,7924.97,33340.60,33306.32
6/18/2022,24158.72,7661.64,31820.36,31768.73
6/19/2022,24510.25,6969.19,31479.44,31479.44
6/20/2022,24611.27,7774.85,32386.12,32386.12
6/21/2022,25930.42,7823.64,33754.06,33754.06
6/22/2022,24057.41,7391.35,31448.76,31448.76
6/23/2022,24109.72,7307.30,31417.02,31389.39
6/24/2022,24048.14,7914.62,31962.76,31962.77
6/25/2022,24436.43,7962.87,32399.30,32379.54
6/26/2022,24648.71,8606.54,33255.25,33255.27
6/27/2022,24298.98,7372.38,31671.36,31671.36
6/28/2022,24971.43,6844.77,31816.20,31796.83
6/29/2022,24349.47,7671.09,32020.56,32002.32
6/30/2022,24946.52,7012.54,31959.06,31959.05
7/1/2022,24368.61,7897.14,32265.75,32239.18
7/2/2022,24874.59,7205.62,32080.21,32054.03
7/3/2022,23852.63,7285.53,31138.16,31106.30
7/4/2022,23190.86,7207.47,30398.33,30398.31
7/5/2022,23722.07,7562.96,31285.03,31255.20
7/6/2022,24043.36,6960.05,31003.41,30991.37
7/7/2022,25415.05,7335.90,32750.95,32750.95
7/8/2022,23042.72,7769.81,30812.53,30812.51
7/9/2022,24879.31,7167.18,32046.49,32042.79
7/10/2022,25935.84,7848.65,33784.49,33776.15
7/11/2022,24447.99,7629.84,32077.83,32077.82
7/12/2022,24278.64,7632.44,31911.08,31899.00
7/13/2022,25341.30,7941.23,33282.53,33282.51
7/14/2022,24580.27,7860.54,32440.81,32440.81
7/15/2022,24490.30,7509.47,31999.77,31999.79
7/16/2022,23668.97,7370.60,31039.57,31039.56
7/17/2022,23744.88,7042.27,30787.15,30787.15
7/18/2022,26072.90,8356.01,34428.91,34428.91
7/19/2022,24516.89,7484.82,32001.71,32001.71
7/20/2022,24042.06,7479.69,31521.75,31493.76
7/21/2022,25260.04,7696.55,32956.59,32918.29
7/22/2022,24825.63,6989.05,31814.68,31814.68
7/23/2022,24876.81,8101.35,32978.16,32963.65
7/24/2022,24270.65,7681.83,31952.48,31952.48
7/25/2022,25886.35,7653.34,33539.69,33539.69
7/26/2022,23372.74,8229.81,31602.55,31573.62
7/27/2022,25327.97,8115.24,33443.21,33415.49
7/28/2022,24873.26,7361.21,32234.47,32234.47
7/29/2022,24928.29,6775.71,31704.00,31704.00
7/30/2022,24159.49,6572.18,30731.67,30704.75
7/31/2022,24442.05,7881.33,32323.38,32323.40
8/1/2022,23697.17,6935.22,30632.39,30632.38
8/2/2022,23105.42,7497.25,30602.67,30602.69
8/3/2022,24989.99,6798.89,31788.88,31788.88
8/4/2022,24005.04,8287.71,32292.75,32292.75
8/5/2022,25358.63,7870.33,33228.96,33206.52
8/6/2022,24436.84,7715.04,32151.88,32108.80
8/7/2022,23819.25,7573.47,31392.72,31392.74
8/8/2022,23909.42,8067.62,31977.04,31970.61
8/9/2022,24333.16,7245.67,31578.83,31578.83
8/10/2022,23922.51,7119.55,31042.06,31042.07
8/11/2022,24345.75,7967.69,32313.44,32298.49
8/12/2022,24185.18,7084.58,31269.76,31269.77
8/13/2022,23764.65,7345.14,31109.79,31023.96
8/14/2022,25053.69,7619.21,32672.90,32672.89
8/15/2022,24722.43,7636.05,32358.48,32358.46
8/16/2022,23984.83,7620.13,31604.96,31581.43
8/17/2022,24826.70,7781.54,32608.24,32608.24
8/18/2022,23896.13,7136.20,31032.33,30980.61
8/19/2022,23136.32,7937.88,31074.20,31046.98
8/20/2022,10659.14,3092.74,13751.88,13751.89
8/21/2022,4839.17,1322.47,6161.64,6161.63
8/22/2022,4458.15,1168.88,5627.03,5627.03
8/23/2022,1387.61,388.36,1775.97,1775.97
