Date,Total_Type0_Amount,Total_Type1_Amount,Total_Amount,Total_TP_Amount
3/24/2022,38799.31,11710.15,50509.46,50509.44
3/25/2022,40000.21,13066.54,53066.75,53040.52
3/26/2022,40818.88,12559.27,53378.15,53378.15
3/27/2022,40143.64,12699.15,52842.79,52842.79
3/28/2022,40093.03,12517.82,52610.85,52580.93
3/29/2022,40490.52,13342.01,53832.53,53832.52
3/30/2022,38540.68,13125.79,51666.47,51658.31
3/31/2022,40739.21,13756.15,54495.36,54448.88
4/1/2022,40652.87,13758.01,54410.88,54379.13
4/2/2022,40605.26,12390.27,52995.53,52970.34
4/3/2022,38165.39,12301.82,50467.21,50458.02
4/4/2022,40320.25,12240.69,52560.94,52519.7
4/5/2022,40764.31,12955.74,53720.05,53675.95
4/6/2022,39167.4,12753.14,51920.54,51920.53
4/7/2022,40990.75,13626.25,54617,54560.18
4/8/2022,41735.61,12627.04,54362.65,54318.76
4/9/2022,39462.39,13032.18,52494.57,52460.24
4/10/2022,39181.68,12714.58,51896.26,51875.64
4/11/2022,37693.81,12025.41,49719.22,49719.22
4/12/2022,41743.18,12252.95,53996.13,53965.6
4/13/2022,41481.05,12930.34,54411.39,54382.48
4/14/2022,40844.11,12148.11,52992.22,52972.33
4/15/2022,41710.93,12800.37,54511.3,54511.31
4/16/2022,40765.13,12513.66,53278.79,53278.8
4/17/2022,40514.24,12668.34,53182.58,53173.73
4/18/2022,40407.9,12938.22,53346.12,53346.13
4/19/2022,42557.35,14319.18,56876.53,56860.34
4/20/2022,40963.65,12785.69,53749.34,53749.34
4/21/2022,40756.29,12945.66,53701.95,53676.79
4/22/2022,42168.16,11805.07,53973.23,53956.75
4/23/2022,41260.16,12281.19,53541.35,53528.05
4/24/2022,39153.95,12959.5,52113.45,52071.49
4/25/2022,39522.51,11891.96,51414.47,51414.49
4/26/2022,39079.22,12202.96,51282.18,51261.4
4/27/2022,41069.22,12877.59,53946.81,53907.54
4/28/2022,40566.34,12607.89,53174.23,53174.22
4/29/2022,39892.01,12535.07,52427.08,52382.5
4/30/2022,40853.5,12453.62,53307.12,53291.81
5/1/2022,39211.11,11984.55,51195.66,51171.96
5/2/2022,39842.55,12608.58,52451.13,52438.21
5/3/2022,40987.9,11954.77,52942.67,52885.97
5/4/2022,41545.86,13295.29,54841.15,54823.4
5/5/2022,41137.28,13246.49,54383.77,54326.44
5/6/2022,43636.48,13266.67,56903.15,56883.42
5/7/2022,40271.24,13523.53,53794.77,53763.25
5/8/2022,40165.05,12404.69,52569.74,52569.73
5/9/2022,39499.51,13250.01,52749.52,52749.52
5/10/2022,40802.5,12784.36,53586.86,53557.23
5/11/2022,39440.04,13858.74,53298.78,53274.85
5/12/2022,40706.42,13026.81,53733.23,53661.06
5/13/2022,39566.78,13372.93,52939.71,52939.71
5/14/2022,38844.39,13545.61,52390,52323.24
5/15/2022,38905.7,12446.23,51351.93,51351.95
5/16/2022,41816.36,13292.11,55108.47,55108.49
5/17/2022,40548.27,13048.5,53596.77,53569.7
5/18/2022,40532.32,11807.25,52339.57,52299.87
5/19/2022,40002.44,12336.59,52339.03,52281.11
5/20/2022,40722.11,12757.52,53479.63,53457.81
5/21/2022,40580.36,12649.03,53229.39,53207.24
5/22/2022,40043.42,11512.53,51555.95,51551.47
5/23/2022,40557.17,12218.98,52776.15,52776.13
5/24/2022,39179.06,12995.72,52174.78,52143.26
5/25/2022,40146.26,13874.97,54021.23,53995.4
5/26/2022,39558.57,11546.55,51105.12,51081.3
5/27/2022,42781.16,12682.67,55463.83,55438.85
5/28/2022,40501.92,13148.19,53650.11,53650.1
5/29/2022,40701.58,13037.12,53738.7,53685.6
5/30/2022,41568.59,12119.06,53687.65,53608.62
5/31/2022,40872.3,12367.64,53239.94,53224.09
6/1/2022,39869.35,12040.62,51909.97,51894.76
6/2/2022,39750.13,12894.73,52644.86,52644.86
6/3/2022,39165.45,12902.97,52068.42,52068.4
6/4/2022,41349.83,11995.78,53345.61,53322.91
6/5/2022,39964.33,12677,52641.33,52561.92
6/6/2022,40054.39,11947.52,52001.91,51980.1
6/7/2022,39565.43,13900.36,53465.79,53443.29
6/8/2022,39507.68,12357.38,51865.06,51865.06
6/9/2022,38536.59,12476.21,51012.8,50987.76
6/10/2022,38942.33,11614.38,50556.71,50541.06
6/11/2022,41072.24,12086.71,53158.95,53133.78
6/12/2022,40035.94,12874.44,52910.38,52875.17
6/13/2022,39138.32,13751.82,52890.14,52890.14
6/14/2022,40823.03,13338.64,54161.67,54119.28
6/15/2022,41550.98,12275.17,53826.15,53812.04
6/16/2022,39327.57,12205.84,51533.41,51477.09
6/17/2022,38827.08,13020.28,51847.36,51815.19
6/18/2022,41175.37,11864.31,53039.68,53019.05
6/19/2022,41228.63,13058.87,54287.5,54269.06
6/20/2022,41896.28,12152.68,54048.96,54048.95
6/21/2022,40136.13,12038.74,52174.87,52153.69
6/22/2022,40324.32,12752.04,53076.36,53076.35
6/23/2022,38926.13,11697.59,50623.72,50567.58
6/24/2022,40855.52,11686.95,52542.47,52504.31
6/25/2022,41410.28,12659.93,54070.21,54062.2
6/26/2022,41610.09,12790.72,54400.81,54328.77
6/27/2022,40797.49,12322.92,53120.41,53081.29
6/28/2022,40162.25,12905.99,53068.24,53068.24
6/29/2022,38134.53,13549.65,51684.18,51661.05
6/30/2022,38479.59,12603.06,51082.65,51082.65
7/1/2022,41527.58,13181.39,54708.97,54687.38
7/2/2022,41369.43,12769.52,54138.95,54138.96
7/3/2022,41723.85,11827.33,53551.18,53499.45
7/4/2022,40529.64,13215.38,53745.02,53707.43
7/5/2022,42454.57,12619.13,55073.7,55073.71
7/6/2022,40638.58,12648.59,53287.17,53226.82
7/7/2022,41103.22,11561.77,52664.99,52629.99
7/8/2022,41882.7,12549.78,54432.48,54361.55
7/9/2022,40200.03,12058.19,52258.22,52258.22
7/10/2022,41290.85,12877.28,54168.13,54087.13
7/11/2022,42333.62,12492.07,54825.69,54825.68
7/12/2022,42290.65,12445.23,54735.88,54706.57
7/13/2022,40189.71,12849.35,53039.06,53039.06
7/14/2022,38913.49,12002.79,50916.28,50854.91
7/15/2022,39231.17,12779.79,52010.96,51997.96
7/16/2022,39088.96,12888.29,51977.25,51977.26
7/17/2022,40054.14,12710.44,52764.58,52764.56
7/18/2022,39891.19,11961.32,51852.51,51852.53
7/19/2022,40631.85,13370.15,54002,54002
7/20/2022,40502.07,13366.7,53868.77,53824.67
7/21/2022,40785.94,12352.5,53138.44,53105.2
7/22/2022,37941.36,11915.68,49857.04,49801.88
7/23/2022,40169.83,14002.58,54172.41,54120.49
7/24/2022,40015.78,13409.85,53425.63,53418.85
7/25/2022,39117.35,13400.21,52517.56,52499.91
7/26/2022,40835.66,13314.52,54150.18,54066.96
7/27/2022,40719.05,13116.96,53836.01,53836
7/28/2022,40009.54,12836.89,52846.43,52796.59
7/29/2022,40835.39,12473.73,53309.12,53294.42
7/30/2022,41395.05,12204.24,53599.29,53599.31
7/31/2022,40025.31,12709.24,52734.55,52695.44
8/1/2022,41013.35,12880.13,53893.48,53853.7
8/2/2022,40377.53,12834.34,53211.87,53180.09
8/3/2022,38675.73,13262.45,51938.18,51892.76
8/4/2022,37979.22,13598.81,51578.03,51578.02
8/5/2022,40652.19,12332.51,52984.7,52966.57
8/6/2022,42205.83,12702.26,54908.09,54904.28
8/7/2022,40970.83,12027.84,52998.67,52984.44
8/8/2022,40663.19,12995.53,53658.72,53658.72
8/9/2022,41782.29,12720.44,54502.73,54464.36
8/10/2022,39571.23,13320.05,52891.28,52810.86
8/11/2022,38641.91,12274.23,50916.14,50885.25
8/12/2022,41119.86,11697.64,52817.5,52806.13
8/13/2022,39951.12,12533.23,52484.35,52459.14
8/14/2022,41637.07,12813.83,54450.9,54423.17
8/15/2022,41760.08,14153.96,55914.04,55914.05
8/16/2022,41285.07,12619.51,53904.58,53837.73
8/17/2022,38096.15,13504.63,51600.78,51501.65
8/18/2022,40396.88,12530.09,52926.97,52916.38
8/19/2022,40723.21,13512.43,54235.64,54235.65
8/20/2022,17438.44,5620.68,23059.12,23052.07
8/21/2022,8356.47,2529.02,10885.49,10885.5
8/22/2022,7405.71,2473.78,9879.49,9879.48
8/23/2022,2018.6,577.61,2596.21,2596.21
